NAME,SEX,DOB,AGE,HEIGHT,WEIGHT,BMI,AVATAR,AVATAR_ID,REGION
丁可儿,Female,1996-8-1,24.0,1.7,46.0,15.92,https://image.ijq.tv/201805/02/16-30-50-66-10.jpg,16-30-50-66-10.jpg,ChinaMainland
丁嘉文,Male,1995-12-7,25.0,1.85,65.0,18.99,https://image.ijq.tv/201907/11/15-45-45-46-47.png,15-45-45-46-47.png,ChinaMainland
丁婷婷,Female,1993-02-28,27.0,1.63,48.0,18.07,https://image.ijq.tv/201903/22/11-14-10-75-1.png,11-14-10-75-1.png,ChinaMainland
丁子峻,Male,1974-5-6,46.0,1.76,62.0,20.02,https://image.ijq.tv/201608/27/15-16-49-97-26.jpg,15-16-49-97-26.jpg,HongKong
丁宁,Female,1990-9-8,30.0,1.66,45.0,16.33,https://image.ijq.tv/201907/31/11-25-57-56-47.png,11-25-57-56-47.png,ChinaMainland
丁宇佳,Male,1992-8-13,28.0,1.81,65.0,19.84,https://image.ijq.tv/201709/04/16-11-14-47-19.jpg,16-11-14-47-19.jpg,ChinaMainland
丁川,Male,1992-10-11,28.0,1.8,62.0,19.14,https://image.ijq.tv/201706/19/14-20-30-65-19.png,14-20-30-65-19.png,ChinaMainland
丁当,Male,1982-4-17,38.0,1.62,48.0,18.29,https://image.ijq.tv/201811/28/10-11-13-58-10.jpg,10-11-13-58-10.jpg,ChinaMainland
丁志诚,Male,1963-12-25,57.0,1.8,70.0,21.6,https://image.ijq.tv/201503/19/13-40-09-43-8.jpg,13-40-09-43-8.jpg,ChinaMainland
丁怡,Female,1994-7-8,26.0,1.64,43.0,15.99,https://image.ijq.tv/201911/08/11-29-18-27-46.jpg,11-29-18-27-46.jpg,ChinaMainland
丁春诚,Male,1984-11-21,36.0,1.91,80.0,21.93,https://image.ijq.tv/201507/25/14-28-07-90-8.jpg,14-28-07-90-8.jpg,ChinaMainland
丁柳元,Female,1977-4-21,43.0,1.63,45.0,16.94,https://image.ijq.tv/201502/26/17-02-49-60-12.jpg,17-02-49-60-12.jpg,ChinaMainland
丁柳雁,Female,1987-1-12,33.0,1.63,49.0,18.44,https://image.ijq.tv/201508/10/14-06-07-58-12.jpg,14-06-07-58-12.jpg,ChinaMainland
丁桥,Male,1991-10-10,29.0,1.81,66.0,20.15,https://image.ijq.tv/201710/06/16-01-29-35-19.jpg,16-01-29-35-19.jpg,ChinaMainland
丁汇宇,Male,1985-9-28,35.0,1.8,73.0,22.53,https://image.ijq.tv/201908/07/15-34-24-82-47.png,15-34-24-82-47.png,ChinaMainland
丁泽仁,Male,1999-11-19,21.0,1.78,60.0,18.94,https://image.ijq.tv/201809/17/17-37-22-68-40.jpg,17-37-22-68-40.jpg,ChinaMainland
丁洋,Female,1983-12-6,37.0,1.62,49.0,18.67,https://image.ijq.tv/201510/10/14-53-29-40-12.jpg,14-53-29-40-12.jpg,ChinaMainland
丁洋,Female,1983-12-6,37.0,1.62,49.0,18.67,https://image.ijq.tv/201510/10/14-53-29-40-12.jpg,14-53-29-40-12.jpg,ChinaMainland
丁海寅,Male,1988-4-1,32.0,1.78,64.0,20.2,https://image.ijq.tv/201612/24/10-09-44-13-35.jpg,10-09-44-13-35.jpg,Korea
丁海峰,Male,1969-9-25,51.0,1.82,78.0,23.55,https://image.ijq.tv/201504/21/16-21-12-18-10.jpg,16-21-12-18-10.jpg,ChinaMainland
丁溪鹤,Male,1988-10-24,32.0,1.78,60.0,18.94,https://image.ijq.tv/201912/12/16-51-13-97-46.jpg,16-51-13-97-46.jpg,ChinaMainland
丁程鑫,Female,2002-2-24,18.0,1.67,45.0,16.14,https://image.ijq.tv/201611/28/10-15-52-72-35.jpg,10-15-52-72-35.jpg,ChinaMainland
丁笑滢,Female,1995-6-24,25.0,1.67,45.0,16.14,https://image.ijq.tv/201907/30/09-36-31-17-47.png,09-36-31-17-47.png,ChinaMainland
丁翔南,Female,1992-12-12,28.0,1.65,45.0,16.53,https://image.ijq.tv/201708/15/15-40-49-17-19.jpg,15-40-49-17-19.jpg,ChinaMainland
丁野,Male,1990-12-26,30.0,1.82,68.0,20.53,https://image.ijq.tv/201507/16/14-39-17-61-10.jpg,14-39-17-61-10.jpg,ChinaMainland
丁锦辉,Male,1989-10-27,31.0,2.0,95.0,23.75,https://www.ijq.tv/file/upload/202007/24/15-24-52-52-67.jpg,15-24-52-52-67.jpg,ChinaMainland
丁飞俊,Male,1997-3-23,23.0,1.8,63.0,19.44,https://image.ijq.tv/201909/29/17-32-07-83-47.png,17-32-07-83-47.png,HongKong
万国鹏,Male,1994,27.0,1.78,70.0,22.09,https://image.ijq.tv/201601/28/10-28-29-64-12.jpg,10-28-29-64-12.jpg,ChinaMainland
万妮恩,Female,1982-11-11,38.0,1.66,48.0,17.42,https://image.ijq.tv/201410/21/16-47-18-12-7.jpg,16-47-18-12-7.jpg,ChinaMainland
万宇辛,Male,1998-6-15,22.0,1.8,65.0,20.06,https://image.ijq.tv/201912/30/18-04-26-67-47.png,18-04-26-67-47.png,ChinaMainland
万弘杰,Male,1972-6-8,48.0,1.82,70.0,21.13,https://image.ijq.tv/201412/06/16-03-20-41-10.jpg,16-03-20-41-10.jpg,ChinaMainland
万思维,Male,1981-10-23,39.0,1.82,70.0,21.13,https://image.ijq.tv/201505/12/11-33-29-46-16.jpg,11-33-29-46-16.jpg,ChinaMainland
万梓良,Male,1957-7-25,63.0,1.77,68.0,21.71,https://image.ijq.tv/201506/08/15-51-02-14-14.png,15-51-02-14-14.png,ChinaMainland
万沛鑫,Male,1987-6-9,33.0,1.85,72.0,21.04,https://image.ijq.tv/201504/16/10-55-18-43-13.jpg,10-55-18-43-13.jpg,ChinaMainland
万潼,Female,1988-11-7,32.0,1.7,50.0,17.3,https://image.ijq.tv/201504/09/15-33-35-90-8.jpg,15-33-35-90-8.jpg,ChinaMainland
万茜,Female,1982-5-14,38.0,1.66,43.0,15.6,https://image.ijq.tv/201911/27/11-06-57-85-46.jpg,11-06-57-85-46.jpg,ChinaMainland
三浦春马,Male,1990-4-5,30.0,1.79,65.0,20.29,https://image.ijq.tv/201502/04/14-16-16-10-13.jpg,14-16-16-10-13.jpg,ChinaMainland
三浦知良,Male,1967-2-26,53.0,1.77,70.0,22.34,https://www.ijq.tv/file/upload/202010/27/10-13-26-25-65.png,10-13-26-25-65.png,Japan
上白,Male,1990-5-3,30.0,1.82,65.0,19.62,https://image.ijq.tv/201706/30/11-37-28-23-26.jpg,11-37-28-23-26.jpg,ChinaMainland
丛日新,Male,1993-12-31,27.0,1.72,65.0,21.97,https://image.ijq.tv/201811/10/13-57-50-17-43.jpg,13-57-50-17-43.jpg,ChinaMainland
丛舰长,Male,1995-8-28,25.0,1.8,70.0,21.6,https://image.ijq.tv/201909/05/15-29-06-95-46.jpg,15-29-06-95-46.jpg,ChinaMainland
东诘翔,Male,2000-11-20,20.0,1.76,55.0,17.76,https://image.ijq.tv/201908/16/15-12-32-95-47.png,15-12-32-95-47.png,Taiwan
东靖川,Male,1979-10-12,41.0,1.77,67.0,21.39,https://image.ijq.tv/201509/28/16-42-11-59-10.jpg,16-42-11-59-10.jpg,ChinaMainland
严丰,Male,1981-10-7,39.0,1.83,77.0,22.99,https://image.ijq.tv/201911/22/16-02-09-63-47.png,16-02-09-63-47.png,ChinaMainland
严基俊,Male,1976-4-22,44.0,1.8,58.0,17.9,https://image.ijq.tv/201505/28/15-31-07-25-16.png,15-31-07-25-16.png,Korea
严尚嘉,Female,1996-8-30,24.0,1.66,48.0,17.42,https://image.ijq.tv/201801/18/10-13-35-84-10.jpg,10-13-35-84-10.jpg,ChinaMainland
严屹宽,Male,1979-1-24,41.0,1.8,70.0,21.6,https://image.ijq.tv/201503/17/16-50-06-65-12.jpg,16-50-06-65-12.jpg,ChinaMainland
严昆,Male,1983-1-6,38.0,1.76,68.0,21.95,https://image.ijq.tv/201506/11/15-41-33-53-12.jpg,15-41-33-53-12.jpg,ChinaMainland
严晓频,Female,1965-4-28,55.0,1.65,56.0,20.57,https://image.ijq.tv/201505/28/11-57-46-88-7.jpg,11-57-46-88-7.jpg,ChinaMainland
严浩翔,Male,2004-8-16,16.0,1.59,30.0,11.87,https://image.ijq.tv/201912/17/15-54-17-84-46.jpg,15-54-17-84-46.jpg,ChinaMainland
严米拉,Female,1992-8-20,28.0,1.64,40.0,14.87,https://image.ijq.tv/201809/26/16-44-42-56-43.jpg,16-44-42-56-43.jpg,ChinaMainland
严艺丹,Female,1982-10-15,38.0,1.64,47.0,17.47,https://image.ijq.tv/201503/20/11-48-16-93-14.jpg,11-48-16-93-14.jpg,ChinaMainland
严贤璟,Female,1986-4-25,34.0,1.65,49.0,18.0,https://image.ijq.tv/201509/15/14-07-49-23-12.jpg,14-07-49-23-12.jpg,Korea
中岛步,Male,1988-10-7,32.0,1.83,65.0,19.41,https://image.ijq.tv/201909/09/11-17-20-95-47.png,11-17-20-95-47.png,Japan
中泉英雄,Male,1976-12-23,44.0,1.8,70.0,21.6,https://image.ijq.tv/201907/19/15-43-14-17-47.png,15-43-14-17-47.png,Japan
中田英寿,Male,1977-1-22,43.0,1.75,72.0,23.51,https://www.ijq.tv/file/upload/202009/14/12-05-51-63-65.png,12-05-51-63-65.png,Japan
丰楚轩,Male,1997-1-2,24.0,1.83,65.0,19.41,https://image.ijq.tv/201907/23/14-29-52-17-47.png,14-29-52-17-47.png,ChinaMainland
丹妮尔·帕娜贝克,Female,1987-9-19,33.0,1.68,55.0,19.49,https://www.ijq.tv/file/upload/202008/03/11-33-56-14-65.png,11-33-56-14-65.png,US
丹尼·格林,Male,1987-6-22,33.0,1.98,98.0,25.0,https://www.ijq.tv/file/upload/202007/21/20-54-38-99-68.png,20-54-38-99-68.png,US
丹尼尔·亨利,Male,1979-11-28,41.0,1.88,73.0,20.65,https://www.ijq.tv/file/upload/202008/19/01-22-38-26-68.jpg,01-22-38-26-68.jpg,US
丹尼斯·吴,Male,1981-8-29,39.0,1.88,83.0,23.48,https://image.ijq.tv/201505/18/16-34-02-39-11.jpg,16-34-02-39-11.jpg,US
丹尼斯·罗德曼,Male,1961-5-13,59.0,2.0,220.0,55.0,https://image.ijq.tv/202007/14/15-05-26-32-67.jpg,15-05-26-32-67.jpg,US
丹琳,Female,1987-3-23,33.0,1.66,46.0,16.69,https://image.ijq.tv/201508/08/11-39-19-66-8.jpg,11-39-19-66-8.jpg,ChinaMainland
丽芙·泰勒,Female,1977-7-1,43.0,1.78,62.0,19.57,https://www.ijq.tv/file/upload/202007/27/09-42-27-94-65.png,09-42-27-94-65.png,US
丽贝卡·罗梅恩,Female,1972-11-6,48.0,1.8,59.0,18.21,https://www.ijq.tv/file/upload/202008/04/16-07-08-36-65.png,16-07-08-36-65.png,US
乌日根,Male,1982-3-8,38.0,1.8,70.0,21.6,https://image.ijq.tv/201507/21/16-04-33-98-8.jpg,16-04-33-98-8.jpg,ChinaMainland
乐嘉,Male,1975-5-16,45.0,1.76,65.0,20.98,https://image.ijq.tv/201409/01/10-12-22-62-12.jpg,10-12-22-62-12.jpg,ChinaMainland
乐靓,Female,1995-10-24,25.0,1.65,44.0,16.16,https://image.ijq.tv/201912/26/16-34-13-85-46.jpg,16-34-13-85-46.jpg,ChinaMainland
乔·博恩瑟,Male,1977-9-20,43.0,1.82,78.0,23.55,https://www.ijq.tv/file/upload/202008/18/14-30-17-86-65.png,14-30-17-86-65.png,US
乔丹·汉密尔顿,Male,1990-10-6,30.0,2.0,100.0,25.0,https://www.ijq.tv/file/upload/202007/21/12-56-56-44-65.png,12-56-56-44-65.png,US
乔丹·法玛尔,Male,1986-11-30,34.0,1.88,82.0,23.2,https://www.ijq.tv/file/upload/202007/20/13-12-27-46-65.png,13-12-27-46-65.png,US
乔乔,Female,1990-6-1,30.0,1.62,40.0,15.24,https://image.ijq.tv/201504/16/13-41-07-94-10.jpg,13-41-07-94-10.jpg,ChinaMainland
乔什·哈切森,Male,1992-10-12,28.0,1.67,68.0,24.38,https://www.ijq.tv/file/upload/202008/19/09-27-21-87-68.jpg,09-27-21-87-68.jpg,US
乔任梁,Female,1987-10-15,33.0,1.82,71.0,21.43,https://image.ijq.tv/201508/14/14-25-08-66-14.png,14-25-08-66-14.png,ChinaMainland
乔伊·多西,Male,1983-12-16,37.0,2.0,122.0,30.5,https://www.ijq.tv/file/upload/202007/20/18-34-16-10-67.jpg,18-34-16-10-67.jpg,US
乔振宇,Male,1978-11-1,42.0,1.82,70.0,21.13,https://image.ijq.tv/201504/08/15-36-05-58-14.jpg,15-36-05-58-14.jpg,ChinaMainland
乔曦,Female,1993-6-15,27.0,1.68,45.0,15.94,https://image.ijq.tv/201702/23/13-24-30-81-26.jpg,13-24-30-81-26.jpg,ChinaMainland
乔杉,Male,1984-6-28,36.0,1.75,87.0,28.41,https://image.ijq.tv/201506/09/16-29-50-62-10.jpg,16-29-50-62-10.jpg,ChinaMainland
乔欣,Female,1993-11-23,27.0,1.7,47.0,16.26,https://image.ijq.tv/201504/28/11-49-28-46-14.png,11-49-28-46-14.png,ChinaMainland
乔璇,Female,1997-5-31,23.0,1.66,45.0,16.33,https://image.ijq.tv/201711/29/11-45-52-24-26.jpg,11-45-52-24-26.jpg,ChinaMainland
乔诗·葛洛班,Male,1981-2-27,39.0,1.83,80.0,23.89,https://www.ijq.tv/file/upload/202008/21/10-08-19-58-65.png,10-08-19-58-65.png,US
乔骏达,Male,1992-5-14,28.0,1.84,68.0,20.09,https://www.ijq.tv/file/upload/202103/02/14-56-19-16-1.png,14-56-19-16-1.png,ChinaMainland
乔鹏樾,Male,1981-5-18,39.0,1.82,70.0,21.13,https://image.ijq.tv/201907/15/15-14-24-10-47.png,15-14-24-10-47.png,ChinaMainland
习雪,Female,1987-1-22,33.0,1.67,46.0,16.49,https://image.ijq.tv/201709/07/15-16-28-20-19.jpg,15-16-28-20-19.jpg,ChinaMainland
书亚信,Male,1992-1-21,28.0,1.8,56.0,17.28,https://image.ijq.tv/201608/09/15-40-58-82-19.png,15-40-58-82-19.png,ChinaMainland
买红妹,Female,1970-12-29,50.0,1.62,45.0,17.15,https://image.ijq.tv/201502/12/15-00-06-98-12.jpg,15-00-06-98-12.jpg,ChinaMainland
买超,Male,1988-5-27,32.0,1.88,80.0,22.63,https://image.ijq.tv/201909/06/10-40-41-19-47.png,10-40-41-19-47.png,ChinaMainland
予辰,Female,1995-6-1,25.0,1.68,45.0,15.94,https://image.ijq.tv/201801/01/12-15-34-37-26.jpg,12-15-34-37-26.jpg,ChinaMainland
于了一,Male,1996-10-7,24.0,1.84,60.0,17.72,https://image.ijq.tv/201801/12/11-32-55-80-26.jpg,11-32-55-80-26.jpg,ChinaMainland
于千景,Female,1986-9-3,34.0,1.65,48.0,17.63,https://image.ijq.tv/201504/15/13-59-17-50-13.jpg,13-59-17-50-13.jpg,ChinaMainland
于和伟,Female,1971-05-04,49.0,1.79,70.0,21.85,https://image.ijq.tv/201607/12/10-55-15-37-26.jpg,10-55-15-37-26.jpg,ChinaMainland
于大宝,Male,1988-4-18,32.0,1.82,75.0,22.64,https://www.ijq.tv/file/upload/202009/14/11-35-04-68-65.png,11-35-04-68-65.png,ChinaMainland
于娜,Female,1981-6-6,39.0,1.76,59.0,19.05,https://image.ijq.tv/201501/14/14-20-02-15-12.jpg,14-20-02-15-12.jpg,ChinaMainland
于婷婷,Female,1991-6-24,29.0,1.7,50.0,17.3,https://image.ijq.tv/201809/27/17-43-15-16-43.jpg,17-43-15-16-43.jpg,ChinaMainland
于子洋,Female,1995-8-26,25.0,1.68,45.0,15.94,https://image.ijq.tv/201712/08/16-33-26-29-39.jpg,16-33-26-29-39.jpg,ChinaMainland
于宇昂,Male,1987-1-23,33.0,1.81,56.0,17.09,https://image.ijq.tv/201507/06/15-35-54-45-12.jpg,15-35-54-45-12.jpg,ChinaMainland
于小伟,Male,1976-3-19,44.0,1.83,70.0,20.9,https://image.ijq.tv/201501/21/13-44-10-74-8.jpg,13-44-10-74-8.jpg,ChinaMainland
于小彤,Male,1994-05-27,26.0,1.9,63.0,17.45,https://image.ijq.tv/201502/27/14-20-27-78-10.jpg,14-20-27-78-10.jpg,ChinaMainland
于小琬,Female,1991-2-5,29.0,1.68,45.0,15.94,https://image.ijq.tv/201709/01/15-42-23-73-26.jpg,15-42-23-73-26.jpg,ChinaMainland
于思楚,Female,1900-6-24,120.0,1.7,50.0,17.3,https://image.ijq.tv/201908/08/11-39-18-22-46.jpg,11-39-18-22-46.jpg,ChinaMainland
于恒,Male,1983-12-21,37.0,1.8,72.0,22.22,https://image.ijq.tv/201605/27/13-39-34-65-23.jpg,13-39-34-65-23.jpg,ChinaMainland
于文文,Female,1989-11-7,31.0,1.68,46.0,16.3,https://image.ijq.tv/201710/30/11-34-45-78-26.jpg,11-34-45-78-26.jpg,ChinaMainland
于斌,Male,1991-7-3,29.0,1.8,69.0,21.3,https://image.ijq.tv/201708/30/11-18-45-15-26.jpg,11-18-45-15-26.jpg,ChinaMainland
于方一,Female,1994-5-13,26.0,1.69,48.0,16.81,https://image.ijq.tv/201907/26/17-06-06-52-47.png,17-06-06-52-47.png,ChinaMainland
于明加,Female,1982-10-16,38.0,1.68,50.0,17.72,https://image.ijq.tv/201512/14/10-14-25-94-1.jpg,10-14-25-94-1.jpg,ChinaMainland
于晓光,Male,1981-5-16,39.0,1.85,77.0,22.5,https://image.ijq.tv/201411/08/14-57-30-16-14.jpg,14-57-30-16-14.jpg,ChinaMainland
于朦胧,Male,1988-6-15,32.0,1.83,60.0,17.92,https://image.ijq.tv/201607/20/15-58-18-36-26.jpg,15-58-18-36-26.jpg,ChinaMainland
于果,Female,1987-2-5,33.0,1.72,50.0,16.9,https://image.ijq.tv/201507/11/16-29-55-11-7.jpg,16-29-55-11-7.jpg,ChinaMainland
于果儿,Female,1990-4-15,30.0,1.68,45.0,15.94,https://image.ijq.tv/201710/31/13-56-05-71-19.jpg,13-56-05-71-19.jpg,ChinaMainland
于根伟,Male,1974-1-7,47.0,1.8,74.0,22.84,https://www.ijq.tv/file/upload/202012/14/10-32-09-50-68.png,10-32-09-50-68.png,ChinaMainland
于歆童,Female,1993-11-14,27.0,1.68,45.0,15.94,https://image.ijq.tv/201805/08/10-41-08-99-26.jpg,10-41-08-99-26.jpg,ChinaMainland
于正,Male,1978-02-28,42.0,1.78,80.0,25.25,https://image.ijq.tv/201506/09/14-31-58-19-12.jpg,14-31-58-19-12.jpg,ChinaMainland
于毅,Male,1978-8-21,42.0,1.78,65.0,20.52,https://image.ijq.tv/201503/02/15-35-57-36-14.jpg,15-35-57-36-14.jpg,ChinaMainland
于永海,Male,1990-3-30,30.0,1.77,70.0,22.34,https://image.ijq.tv/201707/31/09-18-50-91-10.jpg,09-18-50-91-10.jpg,ChinaMainland
于汉超,Male,1987-2-25,33.0,1.78,65.0,20.52,https://www.ijq.tv/file/upload/202010/10/23-03-47-39-68.jpg,23-03-47-39-68.jpg,ChinaMainland
于波,Male,1976-7-22,44.0,1.83,75.0,22.4,https://image.ijq.tv/201406/24/16-45-51-41-10.jpg,16-45-51-41-10.jpg,ChinaMainland
于洋,Male,1961-12-03,59.0,1.77,65.0,20.75,https://image.ijq.tv/201502/12/11-48-52-89-13.jpg,11-48-52-89-13.jpg,ChinaMainland
于海,Male,1987-6-4,33.0,1.82,75.0,22.64,https://www.ijq.tv/file/upload/202010/10/21-02-05-87-68.jpg,21-02-05-87-68.jpg,ChinaMainland
于清斌,Male,1984-4-18,36.0,1.82,72.0,21.74,https://image.ijq.tv/201506/15/15-38-10-62-16.png,15-38-10-62-16.png,ChinaMainland
于湉,Male,1993-1-10,27.0,1.86,65.0,18.79,https://image.ijq.tv/201712/12/14-21-24-53-39.jpg,14-21-24-53-39.jpg,ChinaMainland
于滨,Male,1978-11-19,42.0,1.78,68.0,21.46,https://image.ijq.tv/201506/24/09-10-22-11-8.jpg,09-10-22-11-8.jpg,ChinaMainland
于澍龙,Male,1990-2-19,30.0,1.86,70.0,20.23,https://image.ijq.tv/202007/15/16-51-09-75-67.jpg,16-51-09-75-67.jpg,ChinaMainland
于白水,Male,1989-11-14,31.0,1.73,60.0,20.05,https://image.ijq.tv/201811/23/15-13-06-65-43.jpg,15-13-06-65-43.jpg,ChinaMainland
于童,Female,1990-1-10,30.0,1.68,46.0,16.3,https://image.ijq.tv/201605/26/10-00-48-86-1.jpg,10-00-48-86-1.jpg,ChinaMainland
于笑,Female,1983-5-24,37.0,1.8,69.0,21.3,https://image.ijq.tv/201502/27/10-11-37-90-10.jpg,10-11-37-90-10.jpg,ChinaMainland
于美红,Female,1999-3-29,21.0,1.68,48.0,17.01,https://image.ijq.tv/201909/25/09-59-11-22-47.png,09-59-11-22-47.png,ChinaMainland
于翔,Male,1992-3-26,28.0,1.8,67.0,20.68,https://image.ijq.tv/201705/27/16-02-04-96-19.png,16-02-04-96-19.png,ChinaMainland
于艺璇,Female,1969-6-27,51.0,1.66,55.0,19.96,https://image.ijq.tv/201501/31/11-34-07-11-10.jpg,11-34-07-11-10.jpg,ChinaMainland
于荣光,Male,1958-8-30,62.0,1.78,65.0,20.52,https://image.ijq.tv/201503/24/14-11-27-95-10.jpg,14-11-27-95-10.jpg,ChinaMainland
于莎莎,Female,1985-5-30,35.0,1.65,43.0,15.79,https://image.ijq.tv/201704/06/15-44-45-96-26.jpg,15-44-45-96-26.jpg,ChinaMainland
于莹莹,Female,1989-5-5,31.0,1.66,44.0,15.97,https://image.ijq.tv/201412/15/16-07-57-13-11.jpg,16-07-57-13-11.jpg,ChinaMainland
于蓓蓓,Female,1990-8-21,30.0,1.66,45.0,16.33,https://image.ijq.tv/201708/08/10-59-50-56-10.jpg,10-59-50-56-10.jpg,ChinaMainland
于越,Female,1984-2-22,36.0,1.63,45.0,16.94,https://image.ijq.tv/201612/22/11-24-32-25-26.jpg,11-24-32-25-26.jpg,ChinaMainland
于轩鸿灏,Male,1992-10-15,28.0,1.78,65.0,20.52,https://image.ijq.tv/201811/07/16-18-57-93-10.jpg,16-18-57-93-10.jpg,ChinaMainland
于震,Male,1975-5-10,45.0,1.82,78.0,23.55,https://image.ijq.tv/201504/03/22-54-00-77-1.jpg,22-54-00-77-1.jpg,ChinaMainland
于青斌,Male,1984-4-18,36.0,1.82,72.0,21.74,https://image.ijq.tv/201504/23/12-46-36-95-10.jpg,12-46-36-95-10.jpg,ChinaMainland
云天飞,Male,1993-7-4,27.0,1.8,70.0,21.6,https://image.ijq.tv/201909/06/11-07-40-58-47.png,11-07-40-58-47.png,ChinaMainland
井凌潇,Female,1990-2-8,30.0,1.68,48.0,17.01,https://image.ijq.tv/201507/20/11-01-35-74-8.jpg,11-01-35-74-8.jpg,ChinaMainland
井星文,Female,1983-08-03,37.0,1.63,46.0,17.31,https://image.ijq.tv/201512/18/11-08-25-67-13.jpg,11-08-25-67-13.jpg,ChinaMainland
井柏然,Male,1989-4-19,31.0,1.83,67.0,20.01,https://image.ijq.tv/201704/08/11-08-39-20-19.png,11-08-39-20-19.png,ChinaMainland
亚当·舒尔曼,Male,1981-4-2,39.0,1.77,70.0,22.34,https://www.ijq.tv/file/upload/202008/13/09-24-29-21-68.png,09-24-29-21-68.png,US
亚当·莫里森,Male,1984-7-19,36.0,2.0,93.0,23.25,https://www.ijq.tv/file/upload/202007/20/11-54-07-12-65.png,11-54-07-12-65.png,US
亦涵,Female,1989-6-11,31.0,1.66,49.0,17.78,https://image.ijq.tv/201507/20/11-28-43-10-12.jpg,11-28-43-10-12.jpg,ChinaMainland
仇佩佩,Female,1991-1-10,29.0,1.63,44.0,16.56,https://image.ijq.tv/201805/28/11-24-46-47-26.jpg,11-24-46-47-26.jpg,ChinaMainland
仇硕康,Male,2001-10-1,19.0,1.75,56.0,18.29,https://image.ijq.tv/201707/25/14-37-17-27-19.jpg,14-37-17-27-19.jpg,ChinaMainland
付乐莹,Female,1995-5-22,25.0,1.68,45.0,15.94,https://image.ijq.tv/201801/05/11-32-42-98-26.jpg,11-32-42-98-26.jpg,ChinaMainland
