中文名,英文名,曾用名,民族,国家地区,出生日期,出生地,身高,体重,血型,星座,毕业院校,职业,经纪公司,微博,代表作,相关明星,image_url,image_path
张鹭,Zhang Lu,圣鹭,汉族,内地,1987-9-6,天津市,192CM,85KG,,,,运动员,深圳佳兆业足球俱乐部,张鹭的新浪微博,,陈密,https://www.ijq.tv/file/upload/202012/14/10-45-48-47-68.png,images/10-45-48-47-68.png
于根伟,,,汉族,内地,1974-1-7,天津市,180CM,74KG,,,,运动员,,,,张雅蓓,https://www.ijq.tv/file/upload/202012/14/10-32-09-50-68.png,images/10-32-09-50-68.png
彭欣力,Peng Xinli,,汉族,内地,1991-7-22,四川成都,176CM,61KG,,,,运动员,上海绿地申花足球俱乐部,,,法布雷加斯,https://www.ijq.tv/file/upload/202012/08/10-21-37-75-68.png,images/10-21-37-75-68.png
谢鹏飞,Xie Pengfei,,汉族,内地,1993-6-29,贵州省贵阳市,179CM,74KG,,,浙江绿城足球学校,运动员,江苏苏宁足球俱乐部,,,谢育新,https://www.ijq.tv/file/upload/202012/08/10-10-18-27-68.png,images/10-10-18-27-68.png
王上源,Wang Shangyuan,,汉族,内地,1993-6-2,河南省郑州市,186CM,70KG,,,,运动员,河南建业足球俱乐部,王上源的新浪微博,,郜林,https://www.ijq.tv/file/upload/202012/05/17-35-40-58-68.png,images/17-35-40-58-68.png
孙世林,Sun Shilin,,汉族,内地,1989-10-24,辽宁省大连市,175CM,65KG,,,,运动员,上海绿地申花足球俱乐部,,,柏佳骏,https://www.ijq.tv/file/upload/202012/05/15-18-02-12-68.png,images/15-18-02-12-68.png
李根,Ligen,焦作勒布朗,汉族,内地,1988-8-15,河南省焦作市,196CM,100KG,,,武汉体院,运动员,北控男篮,李根的新浪微博,,孟令源,https://www.ijq.tv/file/upload/202011/28/23-23-20-55-68.png,images/23-23-20-55-68.png
杜震宇,Du Zhenyu,,汉族,内地,1983-2-1,辽宁省沈阳市,176CM,76KG,,,辽宁省体育运动技术学院,运动员,长春亚泰足球俱乐部,杜震宇的新浪微博,,高洪波,https://www.ijq.tv/file/upload/202011/28/14-13-58-98-68.png,images/14-13-58-98-68.png
邓小飞,Dengxiaofei,"鸡蛋,圣小飞",汉族,内地,1983-5-31,,185CM,78KG,,,,运动员,重庆力帆足球俱乐部,,,陆博飞,https://www.ijq.tv/file/upload/202011/24/10-31-43-95-68.png,images/10-31-43-95-68.png
肖智,Xiao Zhi,,汉族,内地,1985-5-28,河南省洛阳市,186CM,68KG,,,河南师范大学,运动员,天津泰达足球俱乐部,肖智的新浪微博,,王寿挺,https://www.ijq.tv/file/upload/202011/22/17-04-21-14-68.png,images/17-04-21-14-68.png
王楚,Wang Chu,,汉族,内地,1991-1-10,四川省成都市,180CM,75KG,,,,运动员,四川九牛足球俱乐部,王楚的新浪微博,,张池明,https://www.ijq.tv/file/upload/202011/22/16-49-15-94-68.png,images/16-49-15-94-68.png
徐云龙,Xu Yunlong,龙队,汉族,内地,1979-2-17,北京市,181CM,74KG,,,北京儿童足球学校,运动员,,徐云龙的新浪微博,,周挺,https://www.ijq.tv/file/upload/202011/21/15-36-21-37-68.png,images/15-36-21-37-68.png
荣昊,Rong Hao,,汉族,内地,1987-4-7,湖北省武汉市,177CM,67KG,,,,运动员,天津泰达足球俱乐部,,,裴恩才,https://www.ijq.tv/file/upload/202011/21/15-20-43-72-68.png,images/15-20-43-72-68.png
巴力,Bari Muhammateli,بارى مۇھەممەتىلى,维吾尔族,内地,1989-7-28,新疆可可托海镇,175CM,70KG,AB型,,,运动员,青岛黄海足球俱乐部,,,董雷,https://www.ijq.tv/file/upload/202011/21/14-54-35-26-68.png,images/14-54-35-26-68.png
高雷雷,Gao Leilei,,汉族,内地,1980-7-15,北京,180CM,68KG,O型,,,运动员,西班牙蓬费拉迪纳,高雷雷的新浪微博,,马郁,https://www.ijq.tv/file/upload/202011/21/14-37-25-41-68.png,images/14-37-25-41-68.png
邹正,Zou Zheng,"特雷泽正,David",汉族,内地,1988-2-7,山东省青岛市,178CM,70KG,,,青岛科技大学,运动员,青岛黄海足球俱乐部,邹正的新浪微博,,郑龙,https://www.ijq.tv/file/upload/202011/14/18-40-25-14-68.png,images/18-40-25-14-68.png
李学鹏,Li Xuepeng,"左路魔翼,李魔翼",汉族,内地,1988-9-18,辽宁省大连市,185CM,75KG,,,,运动员,广州恒大淘宝足球俱乐部,,,朱挺,https://www.ijq.tv/file/upload/202011/12/17-34-11-15-68.png,images/17-34-11-15-68.png
王栋,Wang Dong,,汉族,内地,1981-9-10,山东青岛,181CM,68KG,,,,运动员,,,,于涛,https://www.ijq.tv/file/upload/202011/09/17-24-47-32-68.png,images/17-24-47-32-68.png
谭望嵩,,,汉族,内地,1985-12-19,四川成都,180CM,70KG,,,,运动员,,,,刘宇,https://www.ijq.tv/file/upload/202011/08/18-04-39-57-68.png,images/18-04-39-57-68.png
